,Name
1142,D.-N. Wu
1143,Sujin R. Lee
1144,M.M. Naresh Babu
1145,Michael Aguilar
1146,Dennis J. L. Siedlak
1147,Vincent B. Sylvester
1148,S. Pope
1149,John M. Findley
1150,John R. Bogle
1151,K. Baudendistel
1152,Joachim Hodara
1153,Eric Gustafson
1154,Matthew E. Nipper
1155,Gaurav Mehrotra
1156,Alka Varma Citrin
1157,H. A. Brittain
1158,Tyler G. McCaslin
1159,Mary Ann Wright
1160,P.-O. Theillet
1161,Jay Zuerndorfer
1162,John T. Cutright
1163,Thomas M. Yun
1164,Christina Gipson
1165,H. Park
1166,Kathryn Nagel
1167,R.J. Butera
1168,Ross P. Hilton
1169,Michael Fabian
1170,Megan A. Mann
1171,David Hooke
1172,R. D. Newman
1173,Nunthadech Rodcheuy
1174,Chris Sconyers
1175,Ping-Chang Shih
1176,Carl Blunt
1177,Kuo-Hui Li
1178,E.D. Pohl
1179,Ashita Victor
1180,J. G. Pengra
1181,Ksenia Shkaruta
1182,Frank P. Dudel
1183,J. Evans Taylor
1184,Jihui Jin
1185,Sara Karamati
1186,Kimberly Farnsworth
1187,Brad Rittenhouse
1188,R. J. Conrads
