,Name,ID
354,Daniel Lorenzini,https://openalex.org/A5066211164
355,Jinu Mathew Valayil,https://openalex.org/A5066730312
356,Andras Karsai,https://openalex.org/A5067041885
357,L. Carastro,https://openalex.org/A5067088173
358,Balamurali Balu,https://openalex.org/A5067299392
359,Peter Hylton,https://openalex.org/A5067670288
360,Mark Kingsbury,https://openalex.org/A5068228220
361,Yury Bakhtin,https://openalex.org/A5068436436
362,Elliot Reid,https://openalex.org/A5068449150
363,Shilpa Choudhury,https://openalex.org/A5069595917
364,Tuhin Chakrabortty,https://openalex.org/A5069872451
365,W. B. Carter,https://openalex.org/A5070008803
366,Benjamin Cousins,https://openalex.org/A5070073194
367,Hsiao‐an Hsieh,https://openalex.org/A5070336458
368,Frank L. Neely,https://openalex.org/A5070344780
369,Prasanth Alapati,https://openalex.org/A5070885133
370,Antonio Moreno-Daniel,https://openalex.org/A5072051550
371,Arto Kivila,https://openalex.org/A5072741242
372,Aravind Samba Murthy,https://openalex.org/A5073027175
373,James J. Young,https://openalex.org/A5073358403
374,Thomas D. Backes,https://openalex.org/A5073787256
375,Russell L. Storms,https://openalex.org/A5073941560
376,Jonathan Rubin,https://openalex.org/A5074292836
377,Zhengzhi Zhou,https://openalex.org/A5074720688
378,Anderson Se,https://openalex.org/A5075037158
379,David Lillethun,https://openalex.org/A5075110213
380,Shane Jacobeen,https://openalex.org/A5075598294
381,Sang Eun Jee,https://openalex.org/A5077157534
382,Jay Reimers,https://openalex.org/A5077525965
383,Courtney L. Crooks,https://openalex.org/A5077622940
384,C.M. Riley,https://openalex.org/A5078838208
385,Pranith Kumar,https://openalex.org/A5078903781
386,Chang-Kiang Kuo,https://openalex.org/A5078993288
387,Dimitri Mavris,https://openalex.org/A5079015642
388,H. J. Wang,https://openalex.org/A5079087318
389,Radu Cazan,https://openalex.org/A5079432411
390,Kenneth Hailston,https://openalex.org/A5079611812
391,Markus Janotta,https://openalex.org/A5079666381
392,Jacqueline R. Idaszak,https://openalex.org/A5081079573
393,B.C. Kim,https://openalex.org/A5082326600
394,Lalith Polepeddi,https://openalex.org/A5082617064
395,Glenn A. Parker,https://openalex.org/A5083515704
